EQUIPO,ID_TEAM
Barcelona,e46d7e42
Real Madrid,e46d7e43
Villarreal,e46d7e44
Atlético Madrid,e46d7e45
Athletic Club,e46d7e46
Real Betis,e46d7e47
Mallorca,e46d7e48
Osasuna,e46d7e49
Rayo Vallecano,e46d7e4a
Sevilla FC,e46d7e4b
Celta Vigo,e46d7e4c
Real Sociedad,e46d7e4d
Girona,e46d7e4e
anésLeganés,e46d7e4f
Getafe,e46d7e50
Alavés,e46d7e51
Espanyol,e46d7e52
Las Palmas,e46d7e53
Real Valladolid,e46d7e54
Valencia,e46d7e55
Manchester City,e46d7e56
Liverpool,e46d7e57
Arsenal,e46d7e58
Aston Villa,e46d7e59
Chelsea,e46d7e5a
Brighton & Hove Albion,e46d7e5b
Nottingham Forest,e46d7e5c
Tottenham Hotspur,e46d7e5d
Brentford,e46d7e5e
Fulham,e46d7e5f
AFC Bournemouth,e46d7e60
Newcastle United,e46d7e61
West Ham United,e46d7e62
Manchester United,e46d7e63
Leicester City,e46d7e64
Everton,e46d7e65
Crystal Palace,e46d7e66
Ipswich Town,e46d7e67
Wolverhampton Wanderers,e46d7e68
Southampton,e46d7e69
Napoli,e46d7e6a
Internazionale,e46d7e6b
Atalanta,e46d7e6c
Juventus,e46d7e6d
Fiorentina,e46d7e6e
Lazio,e46d7e6f
Udinese,e46d7e70
AC Milan,e46d7e71
Torino,e46d7e72
Bolonia,e46d7e73
Empoli,e46d7e74
AS Roma,e46d7e75
OComo,e46d7e76
Parma,e46d7e77
Hellas Verona,e46d7e78
Cagliari,e46d7e79
Monza,e46d7e7a
Venezia,e46d7e7b
Lecce,e46d7e7c
Génova,e46d7e7d
Bayern Munich,e46d7e7e
RB Leipzig,e46d7e7f
Bayer Leverkusen,e46d7e80
1. FC Union Berlin,e46d7e81
SC Freiburg,e46d7e82
Eintracht Frankfurt,e46d7e83
Borussia Dortmund,e46d7e84
VfB Stuttgart,e46d7e85
Werder Bremen,e46d7e86
1. FC Heidenheim 1846,e46d7e87
Borussia Monchengladbach,e46d7e88
F. C. Augsburgo,e46d7e89
Mainz,e46d7e8a
VfL Wolfsburg,e46d7e8b
TSG Hoffenheim,e46d7e8c
St Pauli,e46d7e8d
Holstein Kiel,e46d7e8e
VfL Bochum,e46d7e8f
Paris Saint-Germain,e46d7e90
AS Mónaco,e46d7e91
Marseille,e46d7e92
LLille,e46d7e93
Lens,e46d7e94
MStade de Reims,e46d7e95
NLyon,e46d7e96
ENice,e46d7e97
Strasbourg,e46d7e98
Brest,e46d7e99
Stade Rennais,e46d7e9a
Nantes,e46d7e9b
AJ Auxerre,e46d7e9c
Toulouse,e46d7e9d
Angers,e46d7e9e
ESaint-Etienne,e46d7e9f
Havre ACLe Havre AC,e46d7ea0
Montpellier,e46d7ea1
Sporting CP,e46d7ea2
FC Porto,e46d7ea3
Benfica,e46d7ea4
Santa Clara,e46d7ea5
GBraga,e46d7ea6
Guimaraes,e46d7ea7
Moreirense,e46d7ea8
FC Famalicao,e46d7ea9
Casa Pia,e46d7eaa
CGil Vicente,e46d7eab
Estoril,e46d7eac
AVS,e46d7ead
Rio Ave,e46d7eae
Arouca,e46d7eaf
Boavista,e46d7eb0
Estrela,e46d7eb1
C.D. Nacional,e46d7eb2
SC Farense,e46d7eb3
PSV Eindhoven,e46d7eb4
XAjax Amsterdam,e46d7eb5
FC Utrecht,e46d7eb6
Feyenoord Rotterdam,e46d7eb7
FC Twente,e46d7eb8
Z Alkmaar,e46d7eb9
NAC Breda,e46d7eba
AheadGo Ahead Eagles,e46d7ebb
tunaFortuna Sittard,e46d7ebc
Willem II,e46d7ebd
RotterdamSparta Rotterdam,e46d7ebe
Heerenveen,e46d7ebf
NEC Nijmegen,e46d7ec0
FC Groningen,e46d7ec1
Heracles Almelo,e46d7ec2
PEC Zwolle,e46d7ec3
ere CityAlmere City,e46d7ec4
RKC Waalwijk,e46d7ec5
